"","state","county","GEO_ID","S2201_C01_021E","S2201_C01_021EA","S2201_C03_001E","S2201_C03_001EA","S2201_C01_001E","S2201_C01_001EA","year"
"143","48","043","0500000US48043",520,NA,443,NA,4025,NA,2015
"144","48","215","0500000US48215",69943,NA,71890,NA,224021,NA,2015
"145","48","423","0500000US48423",12116,NA,9243,NA,78778,NA,2015
"146","48","227","0500000US48227",1778,NA,1441,NA,11206,NA,2015
"147","48","333","0500000US48333",299,NA,108,NA,1848,NA,2015
"148","48","337","0500000US48337",1124,NA,815,NA,8024,NA,2015
"149","48","365","0500000US48365",1307,NA,1169,NA,8923,NA,2015
"150","48","403","0500000US48403",864,NA,348,NA,3795,NA,2015
"151","48","421","0500000US48421",101,NA,49,NA,986,NA,2015
"152","48","437","0500000US48437",517,NA,425,NA,2594,NA,2015
"153","48","231","0500000US48231",5812,NA,4844,NA,30832,NA,2015
"154","48","063","0500000US48063",779,NA,886,NA,4431,NA,2015
"155","48","195","0500000US48195",304,NA,203,NA,1972,NA,2015
"156","48","187","0500000US48187",4913,NA,4394,NA,48940,NA,2015
"157","48","077","0500000US48077",537,NA,403,NA,4146,NA,2015
"158","48","205","0500000US48205",95,NA,92,NA,1769,NA,2015
"159","48","217","0500000US48217",2387,NA,2360,NA,12902,NA,2015
"160","48","293","0500000US48293",1457,NA,963,NA,8084,NA,2015
"161","48","347","0500000US48347",5758,NA,3631,NA,23888,NA,2015
"162","48","369","0500000US48369",485,NA,349,NA,3224,NA,2015
"163","48","367","0500000US48367",3936,NA,3380,NA,42781,NA,2015
"164","48","377","0500000US48377",607,NA,714,NA,2634,NA,2015
"165","48","465","0500000US48465",3027,NA,3191,NA,14790,NA,2015
"166","48","109","0500000US48109",222,NA,189,NA,788,NA,2015
"167","48","135","0500000US48135",6375,NA,6730,NA,50868,NA,2015
"168","48","169","0500000US48169",154,NA,206,NA,1532,NA,2015
"169","48","173","0500000US48173",25,NA,9,NA,431,NA,2015
"170","48","185","0500000US48185",1580,NA,1320,NA,9005,NA,2015
"171","48","085","0500000US48085",21998,NA,11843,NA,305827,NA,2015
"172","48","005","0500000US48005",5182,NA,5980,NA,30583,NA,2015
"173","48","101","0500000US48101",137,NA,105,NA,635,NA,2015
"174","48","209","0500000US48209",9918,NA,5203,NA,61360,NA,2015
"175","48","039","0500000US48039",11953,NA,10414,NA,112510,NA,2015
"176","48","129","0500000US48129",220,NA,131,NA,1311,NA,2015
"177","48","105","0500000US48105",316,NA,72,NA,1433,NA,2015
"178","48","207","0500000US48207",455,NA,518,NA,2285,NA,2015
"179","48","013","0500000US48013",2556,NA,2789,NA,15363,NA,2015
"180","48","353","0500000US48353",1101,NA,953,NA,5599,NA,2015
"181","48","229","0500000US48229",311,NA,238,NA,968,NA,2015
"182","48","475","0500000US48475",648,NA,451,NA,3883,NA,2015
"183","48","203","0500000US48203",3934,NA,3124,NA,23546,NA,2015
"184","48","327","0500000US48327",176,NA,200,NA,951,NA,2015
"185","48","149","0500000US48149",1262,NA,682,NA,9558,NA,2015
"186","48","491","0500000US48491",11048,NA,9624,NA,161793,NA,2015
"187","48","233","0500000US48233",1313,NA,1138,NA,8297,NA,2015
"188","48","343","0500000US48343",859,NA,1041,NA,4954,NA,2015
"189","48","361","0500000US48361",4934,NA,5123,NA,32054,NA,2015
"190","48","495","0500000US48495",386,NA,327,NA,2628,NA,2015
"191","48","201","0500000US48201",234184,NA,197818,NA,1499528,NA,2015
"192","48","053","0500000US48053",1996,NA,1943,NA,16940,NA,2015
"193","48","171","0500000US48171",1071,NA,691,NA,10577,NA,2015
"194","48","113","0500000US48113",145519,NA,129392,NA,881279,NA,2015
"195","48","311","0500000US48311",40,NA,21,NA,278,NA,2015
"196","48","503","0500000US48503",988,NA,701,NA,7115,NA,2015
"197","48","251","0500000US48251",5874,NA,6281,NA,53685,NA,2015
"198","48","223","0500000US48223",2318,NA,1865,NA,13273,NA,2015
"199","48","357","0500000US48357",521,NA,359,NA,3696,NA,2015
"200","48","275","0500000US48275",265,NA,201,NA,1437,NA,2015
"201","48","309","0500000US48309",17374,NA,12054,NA,86769,NA,2015
"202","48","095","0500000US48095",93,NA,49,NA,813,NA,2015
"203","48","137","0500000US48137",110,NA,131,NA,747,NA,2015
"204","48","133","0500000US48133",1316,NA,835,NA,6810,NA,2015
"205","48","243","0500000US48243",94,NA,75,NA,1023,NA,2015
"206","48","247","0500000US48247",376,NA,425,NA,1688,NA,2015
"207","48","479","0500000US48479",20173,NA,22194,NA,69668,NA,2015
"208","48","011","0500000US48011",53,NA,14,NA,714,NA,2015
"209","48","069","0500000US48069",369,NA,305,NA,2501,NA,2015
"210","48","273","0500000US48273",2923,NA,2081,NA,10906,NA,2015
"211","48","097","0500000US48097",1860,NA,1998,NA,14598,NA,2015
"212","48","107","0500000US48107",452,NA,464,NA,2189,NA,2015
"213","48","151","0500000US48151",295,NA,173,NA,1667,NA,2015
"214","48","131","0500000US48131",941,NA,1062,NA,3937,NA,2015
"215","48","031","0500000US48031",358,NA,206,NA,4164,NA,2015
"216","48","339","0500000US48339",18254,NA,12500,NA,173238,NA,2015
"217","48","127","0500000US48127",748,NA,917,NA,3568,NA,2015
"218","48","241","0500000US48241",2114,NA,1833,NA,12310,NA,2015
"219","48","245","0500000US48245",17579,NA,16625,NA,93495,NA,2015
"220","48","271","0500000US48271",171,NA,143,NA,1079,NA,2015
"221","48","359","0500000US48359",82,NA,35,NA,640,NA,2015
